ID,GENSPE,d15N,d13C
D010,Eviota guttata,10.55,-16.59
D011,Eviota guttata,9.9,-15.05
D012,Eviota guttata,10.16,-16.73
D013,Eviota guttata,10.55,-16.93
D014,Eviota guttata,11,-16.02
E001,Cirripectes filamentosus,9.95,-15.26
E002,Cirripectes filamentosus,9.53,-13.82
E007,Enneapterygius abeli,11.27,-15.77
E008,Enneapterygius abeli,11.33,-15.73
E009,Enneapterygius abeli,10.89,-15.81
E010,Enneapterygius abeli,10.72,-14.91
E011,Enneapterygius abeli,10.73,-15.44
E033,Eviota guttata,10.47,-14.54
E034,Eviota guttata,10.29,-14.45
E035,Eviota guttata,9.51,-14.6
E036,Eviota guttata,10.21,-14.71
E037,Cirripectes filamentosus,10.79,-18.36
E041,Eviota guttata,9.84,-14.95
F001,Enneapterygius abeli,11.37,-16.31
F002,Enneapterygius abeli,10.58,-16.98
F003,Enneapterygius abeli,10.78,-16.33
F004,Enneapterygius abeli,11.13,-16.62
F005,Enneapterygius abeli,10.54,-15.76
F008,Eviota guttata,10.61,-16.64
F009,Eviota guttata,11.04,-17.74
F010,Eviota guttata,11.28,-17.03
F011,Eviota guttata,10.15,-18.2
F012,Eviota guttata,9.43,-19.53
G002,Eviota guttata,10.45,-14.67
G004,Enneapterygius abeli,10.28,-14.33
G005,Enneapterygius abeli,10.07,-15.3
G006,Enneapterygius abeli,11.55,-15.94
G007,Enneapterygius abeli,10.97,-15.84
G008,Enneapterygius abeli,9.7,-15.05
G015,Eviota guttata,10.31,-16.75
G016,Cirripectes filamentosus,9.75,-16.87
G019,Eviota guttata,9.58,-15.37
G022,Eviota guttata,9.37,-18.91
G027,Eviota guttata,8.84,-19.38
G028,Eviota guttata,8.64,-19.49
I015,Eviota guttata,10.94,-15.62
J002,Cirripectes filamentosus,10.72,-15.05
J003,Cirripectes filamentosus,10.71,-14.91
K005,Eviota guttata,10.44,-15.82
K011,Eviota guttata,9.97,-17.11
K012,Eviota guttata,8.93,-19.33
L008,Enneapterygius abeli,10.98,-13.49
L010,Enneapterygius abeli,10.87,-13.53
L011,Enneapterygius abeli,10.48,-13.63
L018,Enneapterygius abeli,11.12,-13.74
L021,Enneapterygius abeli,10.91,-13.48
M002,Enneapterygius elegans,11.54,-14.64
M004,Enneapterygius elegans,12.26,-14.42
M005,Enneapterygius elegans,11.63,-14.03
M008,Enneapterygius abeli,10.99,-12.72
M014,Enneapterygius elegans,11.11,-14.43
N001,Cirripectes filamentosus,9.89,-15
N007,Enneapterygius abeli,10.62,-14.87
N008,Enneapterygius abeli,10.45,-13.79
N010,Eviota guttata,10.69,-16.52
O001,Cirripectes filamentosus,9.35,-13.7
O002,Cirripectes filamentosus,8.93,-15.05
O003,Cirripectes filamentosus,9.08,-14.65
O016,Enneapterygius abeli,10.2,-13.68
O018,Enneapterygius abeli,9.6,-13.76
O019,Enneapterygius abeli,9.55,-14.37
O020,Enneapterygius abeli,10.08,-13.83
O021,Enneapterygius abeli,9.51,-13.68
P002,Helcogramma fuscopinna,na,na
P003,Enneapterygius abeli,10,-13.54
P004,Enneapterygius abeli,9.84,-13.59
P009,Enneapterygius abeli,10.38,-14.26
P014,Enneapterygius abeli,10.33,-13.66
P036,Cirripectes filamentosus,9.12,-16.09
P041,Cirripectes filamentosus,10.61,-17.98
P044,Cirripectes filamentosus,8.87,-15.2
Q004,Cirripectes filamentosus,10.04,-15.09
Q006,Cirripectes filamentosus,9.89,-14.19
Q007,Enneapterygius elegans,11.36,-14.86
Q012,Enneapterygius elegans,11.46,-14.47
Q013,Enneapterygius elegans,10.21,-14.71
Q014,Enneapterygius abeli,11,-13.99
Q015,Enneapterygius elegans,11.46,-15.34
R004,Eviota guttata,10.87,-16.79
R005,Helcogramma fuscopinna,na,na
S008,Eviota guttata,8.48,-18.04
S010,Eviota guttata,10.7,-17.07
S015,Eviota guttata,11,-17.25
S016,Eviota guttata,8.85,-18.88
S026,Enneapterygius abeli,10.84,-16.8
S027,Enneapterygius abeli,10.72,-16.23
S028,Enneapterygius abeli,11.08,-16.28
S030,Enneapterygius abeli,10.95,-16.59
T005,Cirripectes filamentosus,10.24,-13.82
T011,Eviota guttata,10.77,-17.45
T013,Enneapterygius abeli,10.69,-18.11
T014,Enneapterygius abeli,10.96,-15.91
T015,Eviota guttata,10.41,-16.24
T017,Eviota guttata,9.52,-17.84
U009,Eviota guttata,9.28,-15.9
U010,Eviota guttata,9.34,-16.21
U011,Eviota guttata,8.4,-17.24
U012,Eviota guttata,7.77,-18.04
U014,Eviota guttata,8.04,-18.43
V009,Cirripectes filamentosus,9.55,-15.05
V018,Cirripectes filamentosus,9.88,-18.07
J102,Parapriacanthus guentheri,11.72,-17.9
J103,Parapriacanthus guentheri,11.64,-17.98
J104,Parapriacanthus guentheri,11.73,-17.47
J105,Parapriacanthus guentheri,11.29,-17.81
J106,Parapriacanthus guentheri,12.13,-17.8
J107,Parapriacanthus guentheri,11.67,-17.89
J108,Parapriacanthus guentheri,11.42,-17.02
J109,Parapriacanthus guentheri,11.71,-18.01
J110,Parapriacanthus guentheri,12.09,-17.41
J111,Parapriacanthus guentheri,12.28,-17.39
J282,Verulux cypserulus,11.87,-18.39
J283,Verulux cypserulus,11.54,-18.47
J284,Verulux cypserulus,11.85,-18.54
J285,Verulux cypserulus,11.36,-18.69
J286,Verulux cypserulus,11.49,-18.59
J287,Verulux cypserulus,11,-18.51
J288,Verulux cypserulus,11.59,-18.73
J289,Verulux cypserulus,11.56,-18.71
J290,Verulux cypserulus,11.6,-18.49
J291,Verulux cypserulus,11.26,-18.82
