Site,Location,Lat,Lon,Depth,CSL,Complexity,Community
A,High,-4.578615,55.943109,6.5,NA,34,Excluded
B,Low,-4.580798,55.932512,8,280,25.3,Included
C,Low,-4.581072,55.932127,4,270,51,Excluded
D,High,-4.578409,55.942873,9.5,260,21.7,Included
E,High,-4.578515,55.942276,6,270,35.3,Included
F,Low,-4.580994,55.932621,6,250,41.3,Included
G,Low,-4.581085,55.932677,5,305,18,Included
H,Low,-4.58102,55.931576,11,290,6,Included
I,High,-4.579583,55.945472,10,250,22.7,Included
J,High,-4.57823,55.94226,8,330,27,Excluded
K,High,-4.57838,55.94255,9.5,240,27.3,Excluded
L,High,-4.57896,55.94281,4.5,350,32.7,Included
M,High,-4.5795,55.9439,2.5,240,58,Excluded
N,High,-4.57912,55.94354,5.5,260,50,Included
O,Low,-4.58102,55.93223,3.5,160,33.7,Included
P,Low,-4.58128,55.93259,3,290,39.3,Included
Q,High,-4.58,55.94449,5,260,53.7,Included
S,Low,-4.58108,55.93097,9,170,30.3,Included
T,High,-4.57908,55.9442,7.5,150,63,Included
U,Low,-4.58184,55.93034,10,200,58.3,Included
V,High,-4.57916,55.94464,8.5,190,59.3,Included
