FAM,GENSPE,FG
Pomacentridae,Abudefduf sexfasciatus,Planktivore
Pomacentridae,Abudefduf vaigiensis,Planktivore
Acanthuridae,Acanthurus leucocheilus,Herbivore
Acanthuridae,Acanthurus leucosternon,Herbivore
Acanthuridae,Acanthurus lineatus,Herbivore
Acanthuridae,Acanthurus nigricauda,Herbivore
Acanthuridae,Acanthurus nigrofuscus,Herbivore
Acanthuridae,Acanthurus striatus,Herbivore
Acanthuridae,Acanthurus tennentii,Herbivore
Acanthuridae,Acanthurus thompsoni,Planktivore
Acanthuridae,Acanthurus triostegus,Herbivore
Acanthuridae,Acanthurus truncatus,Herbivore
Acanthuridae,Acanthurus xanthopteus,Herbivore
Serranidae,Aethaloperca rogaa,Piscivore
Pomacentridae,Amphiprion akallopisos,Omnivore
Labridae,Anampses caeruleopunctatus,Invertivore
Labridae,Anampses meleagrides,Invertivore
Pomacanthidae,Apolemichthys trimaculatus,Omnivore
Lutjanidae,Aprion virescens,Piscivore
Tetraodontidae,Arothron mappa,Omnivore
Tetraodontidae,Arothron meleagris,Corallivore
Aulostomidae,Aulostomus chinensis,Piscivore
Pomacentridae,Azurina lepidolepis,Planktivore
Balistidae,Balistoides viridescens,Invertivore
Labridae,Bodianus axillaris,Invertivore
Scaridae,Calotomus carolinus,Herbivore
Monacanthidae,Cantherhines pardalis,Invertivore
Tetraodontidae,Canthigaster petersii,Herbivore
Carangidae,Caranx melampygus,Piscivore
Pomacanthidae,Centropyge multispinis,Omnivore
Serranidae,Cephalopholis argus,Piscivore
Serranidae,Cephalopholis miniata,Piscivore
Serranidae,Cephalopholis nigripinnis,Carnivore
Chaetodontidae,Chaetodon auriga,Omnivore
Chaetodontidae,Chaetodon guttatissimus,Corallivore
Chaetodontidae,Chaetodon kleinii,Omnivore
Chaetodontidae,Chaetodon lunula,Omnivore
Chaetodontidae,Chaetodon melannotus,Corallivore
Chaetodontidae,Chaetodon meyeri,Corallivore
Chaetodontidae,Chaetodon triangulum,Corallivore
Chaetodontidae,Chaetodon trifascialis,Corallivore
Chaetodontidae,Chaetodon trifasciatus,Corallivore
Chaetodontidae,Chaetodon xanthocephalus,Omnivore
Chaetodontidae,Chaetodon zanzibarensis,Corallivore
Labridae,Cheilinus trilobatus,Carnivore
Scaridae,Chlorurus atrilunula,Herbivore
Scaridae,Chlorurus capistratoides,Omnivore
Scaridae,Chlorurus sordidus,Herbivore
Scaridae,Chlorurus strongylocephalus,Herbivore
Pomacentridae,Chromis atripectoralis,Planktivore
Pomacentridae,Chromis opercularis,Planktivore
Pomacentridae,Chromis ternatensis,Planktivore
Pomacentridae,Chromis viridis,Planktivore
Pomacentridae,Chromis weberi,Planktivore
Pomacentridae,Chrysiptera brownriggii,Omnivore
Labridae,Cirrhilabrus exquisitus,Planktivore
Labridae,Coris caudimacula,Carnivore
Labridae,Coris formosa,Invertivore
Acanthuridae,Ctenochaetus binotatus,Herbivore
Acanthuridae,Ctenochaetus striatus,Herbivore
Acanthuridae,Ctenochaetus truncatus,Herbivore
Pomacentridae,Dascyllus carneus,Planktivore
Pomacentridae,Dascyllus trimaculatus,Planktivore
Labridae,Epibulus insidiator,Carnivore
Serranidae,Epinephelus fasciatus,Carnivore
Serranidae,Epinephelus hexagonatus,Piscivore
Serranidae,Epinephelus merra,Piscivore
Serranidae,Epinephelus spilotoceps,Omnivore
Lethrinidae,Gnathodentex aurolineatus,Carnivore
Labridae,Gomphosus caeruleus,Carnivore
Labridae,Halichoeres dimidiatus,Carnivore
Labridae,Halichoeres hortulanus,Invertivore
Labridae,Halichoeres marginatus,Carnivore
Labridae,Halichoeres nebulosus,Invertivore
Labridae,Hemigymnus fasciatus,Invertivore
Labridae,Hemigymnus melapterus,Invertivore
Chaetodontidae,Heniochus acuminatus,Planktivore
Scaridae,Hipposcarus harid,Herbivore
Kyphosidae,Kyphosus cinerascens,Herbivore
Labridae,Labrichthys unilineatus,Corallivore
Labridae,Labroides bicolor,Invertivore
Labridae,Labroides dimidiatus,Invertivore
Lethrinidae,Lethrinus mahsena,Omnivore
Lethrinidae,Lethrinus nebulosus,Omnivore
Lethrinidae,Lethrinus obsoletus,Omnivore
Lethrinidae,Lethrinus olivaceus,Piscivore
Lutjanidae,Lutjanus bohar,Piscivore
Lutjanidae,Lutjanus ehrenbergii,Omnivore
Lutjanidae,Lutjanus fulviflamma,Omnivore
Lutjanidae,Lutjanus gibbus,Carnivore
Lutjanidae,Lutjanus kasmira,Carnivore
Lethrinidae,Monotaxis grandoculis,Invertivore
Mullidae,Mulloidichthys flavolineatus,Omnivore
Holocentridae,Myripristis sp,Carnivore
Holocentridae,Myripristis violacea,Planktivore
Acanthuridae,Naso brachycentron,Herbivore
Acanthuridae,Naso brevirostris,Planktivore
Acanthuridae,Naso elegans,Herbivore
Acanthuridae,Naso lituratus,Herbivore
Acanthuridae,Naso sp,Herbivore
Holocentridae,Neoniphon sammara,Carnivore
Labridae,Novaculichthys taeniourus,Invertivore
Labridae,Oxycheilinus digramma,Carnivore
Monacanthidae,Oxymonacanthus longirostris,Corallivore
Acanthuridae,Paracanthurus hepatus,Planktivore
Cirrhitidae,Paracirrhites forsteri,Piscivore
Mullidae,Parupeneus barberinus,Carnivore
Mullidae,Parupeneus cyclostomus,Carnivore
Mullidae,Parupeneus macronemus,Carnivore
Mullidae,Parupeneus trifasciatus,Carnivore
Ephippidae,Platax orbicularis,Carnivore
Haemulidae,Plectorhinchus vittatus,Carnivore
Pomacentridae,Plectroglyphidodon dickii,Omnivore
Pomacentridae,Plectroglyphidodon johnstonianus,Herbivore
Pomacanthidae,Pomacanthus imperator,Omnivore
Pomacanthidae,Pomacanthus semicirculatus,Herbivore
Pomacentridae,Pomacentrus caeruleus,Omnivore
Pomacentridae,Pomacentrus sulfureus,Herbivore
Pomacentridae,Pomacentrus trilineatus,Herbivore
Labridae,Pseudocheilinus hexataenia,Invertivore
Labridae,Pseudodax moluccanus,Omnivore
Pomacentridae,Pycnochromis fieldi,Planktivore
Pomacentridae,Pycnochromis nigrurus,Corallivore
Balistidae,Rhinecanthus aculeatus,Carnivore
Holocentridae,Sargocentron diadema,Invertivore
Holocentridae,Sargocentron spiniferum,Carnivore
Scaridae,Scarus atrilunula,Herbivore
Scaridae,Scarus caudofasciatus,Herbivore
Scaridae,Scarus falcipinnis,Herbivore
Scaridae,Scarus frenatus,Herbivore
Scaridae,Scarus ghobban,Herbivore
Scaridae,Scarus niger,Herbivore
Scaridae,Scarus prasiognathos,Herbivore
Scaridae,Scarus psittacus,Herbivore
Scaridae,Scarus rubroviolaceus,Herbivore
Scaridae,Scarus scaber,Herbivore
Scaridae,Scarus tricolor,Herbivore
Scaridae,Scarus viridifucatus,Herbivore
Nemipteridae,Scolopsis frenata,Invertivore
Siganidae,Siganus argenteus,Herbivore
Siganidae,Siganus rivulatus,Herbivore
Siganidae,Siganus stellatus,Herbivore
Siganidae,Siganus sutor,Herbivore
Sphyraenidae,Sphyraena barracuda,Piscivore
Pomacentridae,Stegastes fieldi,Planktivore
Pomacentridae,Stegastes lacrymatus,Herbivore
Pomacentridae,Stegastes nigricans,Omnivore
Labridae,Stethojulis albovittata,Invertivore
Balistidae,Sufflamen chrysopterum,Invertivore
Labridae,Thalassoma hardwicke,Invertivore
Labridae,Thalassoma hebraicum,Invertivore
Labridae,Thalassoma lunare,Carnivore
Labridae,Thalassoma purpureum,Omnivore
Zanclidae,Zanclus cornutus,Invertivore
Acanthuridae,Zebrasoma desjardinii,Herbivore
Acanthuridae,Zebrasoma scopas,Herbivore
