"d13C","d15N","Location","Depth"
NA,NA,"High",6.5
NA,NA,"High",6.5
NA,NA,"Low",8
NA,NA,"Low",8
NA,NA,"Low",8
NA,NA,"Low",8
NA,NA,"Low",8
NA,NA,"Low",8
NA,NA,"Low",8
NA,NA,"High",9.5
NA,NA,"High",9.5
NA,NA,"High",9.5
NA,NA,"High",9.5
-16.59,10.55,"High",9.5
-15.05,9.9,"High",9.5
-16.73,10.16,"High",9.5
-16.93,10.55,"High",9.5
-16.02,11,"High",9.5
NA,NA,"High",6
-14.54,10.47,"High",6
-14.45,10.29,"High",6
-14.6,9.51,"High",6
-14.71,10.21,"High",6
-14.95,9.84,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
NA,NA,"High",6
-16.64,10.61,"Low",6
-17.74,11.04,"Low",6
-17.03,11.28,"Low",6
-18.2,10.15,"Low",6
-19.53,9.43,"Low",6
-14.67,10.45,"Low",5
-16.75,10.31,"Low",5
-15.37,9.58,"Low",5
-18.91,9.37,"Low",5
-19.38,8.84,"Low",5
-19.49,8.64,"Low",5
-15.62,10.94,"High",10
-15.82,10.44,"High",9.5
-17.11,9.97,"High",9.5
-19.33,8.93,"High",9.5
-16.52,10.69,"High",5.5
NA,NA,"Low",9
-18.04,8.48,"Low",9
-17.07,10.7,"Low",9
-17.25,11,"Low",9
-18.88,8.85,"Low",9
-17.45,10.77,"High",7.5
-16.24,10.41,"High",7.5
-17.84,9.52,"High",7.5
-15.9,9.28,"Low",10
-16.21,9.34,"Low",10
-17.24,8.4,"Low",10
-18.04,7.77,"Low",10
-18.43,8.04,"Low",10
NA,NA,"Low",10
